"orgUnit","period","csb","net_p2","wealth_index","imp_water","imp_latrine","edu_prim","rotavirus","kitchen_outside","reimbursement","staff_support","chw_support","month_since_llin","build_density","twi_rice","elevation","stream_dist","csb_dist","fete_nationale","winter_season","summer_season","csb_type"
"EE6WwIMgQ0F","201911","CSB2 FASINTSARA",0.327709760702816,3.245948379081,0.0531977424000955,0.489404841781365,0.908356344804516,0.0698752742004543,0.178522058629481,0,0,0,15,32.375,8.98867244027816,648.014800191517,353.861601916157,5279.10941020074,0,0,1,"CSB2"
"M38BJM8ju1A","201911","CSB1 AMBODIARA SUD",0.329549134166019,2.9889548920946,0.054662552079287,0.533197920971109,0.773874315708432,0.0580055509180347,0.198651309366376,0,1,0,15,45.25,8.69055130650909,619.150355251558,281.241392005096,4887.54131714281,0,0,1,"CSB1"
"O1wNJut8eci","201911","CSB2 IFANADIANA",0.342883825288557,3.74331213594561,0.370338595184195,0.788449983409681,0.869815417039355,0.113092819262967,0.313245919477157,1,1,1,15,10.8888888888889,8.86196997304004,459.684711710178,447.38084265739,5926.91473917878,0,0,1,"CSB2"
"RRe6ic0AU1Z","201911","CSB2 KELILALINA",0.269960016752549,3.39840355721675,0.206111420717323,0.752635957264762,0.833904868253566,0.0974112978266588,0.241896737996352,1,1,1,15,33.25,8.7547628729086,569.678644514402,512.965888713958,6426.76732658677,0,0,1,"CSB2"
"QHPyq70qulM","201911","CSB1 AMBALAVOLO",0.298752658638459,2.57628045418906,0.0433114455928754,0.397312000426641,0.723058945694104,0.0582436389340656,0.240426024464546,0,0,0,15,39.8,8.80046357133949,387.811149616073,326.801746824385,6208.96611513214,0,0,1,"CSB1"
"ZPvH8UsgwYv","201911","CSB2 MAROHARATRA",0.314707970153467,2.97691640767225,0.098134327533708,0.47334998110672,0.732683122569325,0.0697598740158634,0.231170699561428,0,0,0,15,36.0357142857143,8.93819737213145,551.261999124125,347.610053134285,7136.5735855492,0,0,1,"CSB2"
"DDR2w1c1GyE","201911","CSB2 MAROTOKO",0.243227584501839,2.32755035352851,0.0628675526075857,0.413845824930664,0.693491371129029,0.0539420297353895,0.232380450668162,0,0,0,15,10.3,8.73714252953916,255.495864798308,423.229723936897,9714.53013076759,0,0,1,"CSB2"
"r4U7PhBKR7S","201911","CSB2 RANOMAFANA",0.270393437860238,3.90287867535672,0.422066699777009,0.733808868243654,0.900500355899247,0.0808997647875574,0.282165908507642,1,1,1,15,31.25,8.86347419124383,632.370559262361,472.110907572553,7389.72545730893,0,0,1,"CSB2"
"uWoBok9YyvB","201911","CSB2 TSARATANANA",0.230726878657689,2.6854263625467,0.113771887790425,0.685419627323999,0.787711073008323,0.0604717913607676,0.209100077896872,1,1,1,15,13.1470588235294,8.76556745581118,390.711046817702,433.095614233824,10078.5189781723,0,0,1,"CSB2"
"Pi2y9HFBDRj","201911","CSB1 ANALAMARINA",0.226576028555503,2.45694213664166,0.0588080983685439,0.605083464241167,0.747149816392327,0.0482911785054407,0.168460566179006,0,0,0,15,7.83333333333333,8.81905693913841,505.131171699929,691.130057109938,7034.49898405298,0,0,1,"CSB1"
